"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Coty Inc","COTY","Strong Buy","Buy","Strong Sell","Strong Sell"
"Crown Castle","CCI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CSX","CSX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cummins","CMI","Strong Buy","Strong Buy","Sell","Sell"
"CVS Health Corp","CVS","Buy","Strong Sell","Strong Sell","Strong Sell"
"Danaher","DHR","Sell","Neutral","Buy","Strong Buy"
"Darden Restaurants","DRI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"DaVita","DVA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Deere&Company","DE","Strong Buy","Strong Buy","Neutral","Buy"
"Delta Air Lines","DAL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Dentsply","XRAY","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Devon Energy","DVN","Strong Sell","Sell","Strong Buy","Buy"
"Digital","DLR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Discover","DFS","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Discovery A","DISCA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Discovery Communications C","DISCK","Strong Buy","Strong Buy","Strong Buy","Buy"
"DISH Network","DISH","Strong Buy","Buy","Sell","Strong Sell"
"Dollar General","DG","Strong Buy","Buy","Buy","Strong Buy"
"Dollar Tree","DLTR","Neutral","Strong Buy","Buy","Neutral"
"Dominion Resources","D","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Dover","DOV","Strong Buy","Strong Buy","Strong Buy","Neutral"
"DR Horton","DHI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"DTE Energy","DTE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Duke","DRE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Duke Energy","DUK","Strong Buy","Strong Buy","Strong Buy","Neutral"
"DuPont","DWDP","Sell","Neutral","Buy","Buy"
"DXC Technology","DXC","Strong Buy","Buy","Neutral","Strong Buy"
"E-TRADE","ETFC","Sell","Strong Sell","Neutral","Strong Buy"
"Eastman Chemical","EMN","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Eaton","ETN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"eBay","EBAY","Buy","Strong Sell","Strong Sell","Neutral"
"Ecolab","ECL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
